Proposal ID;Title;Brief Description;WSC Proposal Description
11;future operational plan summary for census in the kingdom of saudi arabia;"This presentation aims at demonstrating the programme of censuses that is
conducted in Kingdom of Saudi Arabia, which includes Population and
Dwellings Census, Establishment Census and Agriculture Census. However, in
order to improve and further develop efficiency, as well as, prepare the
Kingdom for an efficient move to an administrative based approach in 2030;
the General Authority of Statistics (GASTAT) will use a Combined Census
approach between traditional and register based census. This Combined
approach will use administrative data supported by fieldwork. This new
approach has required prior testing of administrative data such as the Saudi
National Postal Address and data that is held by the National Information
Centre (NIC). The presentation will further discuss the progress in the
preparation and implementation of this new approach. This will include a
thorough review of how the National Address system is being used as the
framework for identifying buildings and households, as well as reviewing the
results of the pilot studies initiated. The presentation will also discuss the
implications for the fieldwork presented, and that includes, Computer Assisted
Interviewing and the publicity and awareness censuses campaigns. Finally, the
presentation will also discuss preparations for the release and publish of
statistics from the 2020 round.";"This presentation aims at demonstrating the programme of censuses that is
conducted in Kingdom of Saudi Arabia, which includes Population and
Dwellings Census, Establishment Census and Agriculture Census. However, in
order to improve and further develop efficiency, as well as, prepare the
Kingdom for an efficient move to an administrative based approach in 2030;
the General Authority of Statistics (GASTAT) will use a Combined Census
approach between traditional and register based census. This Combined
approach will use administrative data supported by fieldwork. This new
approach has required prior testing of administrative data such as the Saudi
National Postal Address and data that is held by the National Information
Centre (NIC). The presentation will further discuss the progress in the
preparation and implementation of this new approach. This will include a
thorough review of how the National Address system is being used as the
framework for identifying buildings and households, as well as reviewing the
results of the pilot studies initiated. The presentation will also discuss the
implications for the fieldwork presented, and that includes, Computer Assisted
Interviewing and the publicity and awareness censuses campaigns. Finally, the
presentation will also discuss preparations for the release and publish of
statistics from the 2020 round."
12;gender based and intimate partner violence against women in spain;"Gender-based violence (GBV) is one of the most severe forms of Violence
Against Women, especially when it is caused by an intimate partner. In 2013,
the World Health Organization (WHO) estimated that more than one in three
women worldwide has experienced physical and/or sexual violence throughout
life. Awareness of this problem by governments and international organizations
has increased in recent years.
This paper aims to analyse the prevalence of IPV against women in Spain
during 2016. Based on data from the 2015 Spanish Macro survey of genderbased violence, which included 10,171 women aged 16 and over, we analyse
five types of Intimate Partner Violence (IPV): sexual, physical, psychological
(controlling behaviours and emotional abuse) and economic violence. First, we
describe the Spanish population as a framework to understand GBV in Spain.
Second, we analyse the sample and we characterize those women who have
suffered IPV. Third, we characterize the aggressors, based on the information
provided by the victims. Finally, we provide the profiles of the women who
have suffered from IPV as well as their aggressors. The key findings of this
paper are striking: 13.2% of Spanish women aged 16 or more have suffered
from GBV; only 2.7% have suffered sexual and/or physical violence, but 9.2%
have felt fear or have been controlled. The perception about their own health
is worse amongst women who have suffered from IPV.";"Gender-based violence (GBV) is one of the most severe forms of Violence
Against Women, especially when it is caused by an intimate partner. In 2013,
the World Health Organization (WHO) estimated that more than one in three
women worldwide has experienced physical and/or sexual violence throughout
life. Awareness of this problem by governments and international organizations
has increased in recent years.
This paper aims to analyse the prevalence of IPV against women in Spain
during 2016. Based on data from the 2015 Spanish Macro survey of genderbased violence, which included 10,171 women aged 16 and over, we analyse
five types of Intimate Partner Violence (IPV): sexual, physical, psychological
(controlling behaviours and emotional abuse) and economic violence. First, we
describe the Spanish population as a framework to understand GBV in Spain.
Second, we analyse the sample and we characterize those women who have
suffered IPV. Third, we characterize the aggressors, based on the information
provided by the victims. Finally, we provide the profiles of the women who
have suffered from IPV as well as their aggressors. The key findings of this
paper are striking: 13.2% of Spanish women aged 16 or more have suffered
from GBV; only 2.7% have suffered sexual and/or physical violence, but 9.2%
have felt fear or have been controlled. The perception about their own health
is worse amongst women who have suffered from IPV."
13;granger causality in yield curves of different markets;"We develop time series analysis of functional data observed discretely,
treating the whole curve as a random realization from a distribution on
functions that evolve over time. The method consists of principal components
analysis of functional data and subsequently modeling the principal
component scores as vector ARMA process. We justify the method by showing
that an underlying ARMAH structure of the curves leads to a VARMA structure
on the principal component scores. We derive asymptotic properties of the
estimators, fits and forecast. For term structures of interest rates, this provides
a unified framework for studying the time and maturity components of interest
rates under one set-up with few parametric assumptions. We apply the
method to the yield curves of USA and India. We compare our forecasts to the
parametric model of Diebold and Li (2006). We then use the method of
Granger causality on the VARMA of Principal components scores for the two
markets to test if one market drives the other.";"We develop time series analysis of functional data observed discretely,
treating the whole curve as a random realization from a distribution on
functions that evolve over time. The method consists of principal components
analysis of functional data and subsequently modeling the principal
component scores as vector ARMA process. We justify the method by showing
that an underlying ARMAH structure of the curves leads to a VARMA structure
on the principal component scores. We derive asymptotic properties of the
estimators, fits and forecast. For term structures of interest rates, this provides
a unified framework for studying the time and maturity components of interest
rates under one set-up with few parametric assumptions. We apply the
method to the yield curves of USA and India. We compare our forecasts to the
parametric model of Diebold and Li (2006). We then use the method of
Granger causality on the VARMA of Principal components scores for the two
markets to test if one market drives the other."
14;how banca d italia disseminates granular statistics to external researchers the case of firms and households survey data;"This note illustrates Banca d’Italia’s long tradition in disseminating granular
survey data to the public, the rationale for the choices done, pros and cons of
the different options. After discussing the treatment of confidential data in
Italy, the note describes the dissemination of households’ and firms’ survey
data. In particular, Banca d’Italia Remote Data processing (BIRD) allows
external researchers to perform economic analysis on granular data without
any direct access to them. The note will also present Banca d’Italia’s project for
the future, namely the creation of a Research Data Center, including a
laboratory, in order to facilitate the way internal and external users access
microdata, to increase data availability, to better address related
methodological issues and to facilitate data sharing with other institutions.";"This note illustrates Banca d’Italia’s long tradition in disseminating granular
survey data to the public, the rationale for the choices done, pros and cons of
the different options. After discussing the treatment of confidential data in
Italy, the note describes the dissemination of households’ and firms’ survey
data. In particular, Banca d’Italia Remote Data processing (BIRD) allows
external researchers to perform economic analysis on granular data without
any direct access to them. The note will also present Banca d’Italia’s project for
the future, namely the creation of a Research Data Center, including a
laboratory, in order to facilitate the way internal and external users access
microdata, to increase data availability, to better address related
methodological issues and to facilitate data sharing with other institutions."
15;how to measure shelters and specialized services to support to victims of violence;"The Council of Europe Convention on preventing and combating violence
against women and domestic violence (Istanbul Convention, 2011) requires
Countries to provide for setting up ""specialized services of immediate
support, in the short and long term, for each victim of any act of violence that
falls within the scope of the Convention"". The types of support that these
services provide are shelters and safe accommodations, telephone helplines,
sexual violence services, legal support, counselling centres, and specific
services for children as victims or witnesses. For long time in Italy the available
information on this kind of services was fragmented, based only on partial
investigations. The national Agreements between Government, Regions and
Autonomous Provinces (signed in 2014) established the minimum
requirements of anti-violence centres and shelter houses to guarantee
homogeneous criteria at national level and supported the implementation of
a more systematic and extensive data collection. In 2018 Istat carried out for
the first time, in collaboration with the Department for Equal Opportunities
(DPO) at the Presidency of the Council, the Regions and the National Research
Council (Cnr - Irrps), a national survey on the services provided by the antiviolence centres for victims of violence. The survey aims to identify the
different territorial models adopted by the centres describing the dissimilar
opportunities available to support and accompany women and their children
to go through the specific and individual path of exit from violence. The survey
was carried out between June and July 2018, 281 anti-violence centres
meeting the requirements of the 2014 Agreement were interviewed. The
centres mainly provide listening and reception services, legal support,
guidance and support for other services, psychological support, help in
moving away from the violent partner, work orientation, support for
autonomy. In some cases the service is provided directly from the centre, in
others, from the centre in collaboration with the services in the area, in others,
the centre performs an addressing function. This paper presents the results of
a multivariate statistical analysis that took into consideration, on the one hand,
the services provide to women, on the other, the organizational strategies
adopted to respond to users' needs. The statistical analysis was carried out in
two steps: a correspondence analysis and after a cluster analysis that have 
identified six clusters of anti-violence centres corresponding to six different
organizational models.";"The Council of Europe Convention on preventing and combating violence
against women and domestic violence (Istanbul Convention, 2011) requires
Countries to provide for setting up ""specialized services of immediate
support, in the short and long term, for each victim of any act of violence that
falls within the scope of the Convention"". The types of support that these
services provide are shelters and safe accommodations, telephone helplines,
sexual violence services, legal support, counselling centres, and specific
services for children as victims or witnesses. For long time in Italy the available
information on this kind of services was fragmented, based only on partial
investigations. The national Agreements between Government, Regions and
Autonomous Provinces (signed in 2014) established the minimum
requirements of anti-violence centres and shelter houses to guarantee
homogeneous criteria at national level and supported the implementation of
a more systematic and extensive data collection. In 2018 Istat carried out for
the first time, in collaboration with the Department for Equal Opportunities
(DPO) at the Presidency of the Council, the Regions and the National Research
Council (Cnr - Irrps), a national survey on the services provided by the antiviolence centres for victims of violence. The survey aims to identify the
different territorial models adopted by the centres describing the dissimilar
opportunities available to support and accompany women and their children
to go through the specific and individual path of exit from violence. The survey
was carried out between June and July 2018, 281 anti-violence centres
meeting the requirements of the 2014 Agreement were interviewed. The
centres mainly provide listening and reception services, legal support,
guidance and support for other services, psychological support, help in
moving away from the violent partner, work orientation, support for
autonomy. In some cases the service is provided directly from the centre, in
others, from the centre in collaboration with the services in the area, in others,
the centre performs an addressing function. This paper presents the results of
a multivariate statistical analysis that took into consideration, on the one hand,
the services provide to women, on the other, the organizational strategies
adopted to respond to users' needs. The statistical analysis was carried out in
two steps: a correspondence analysis and after a cluster analysis that have 
identified six clusters of anti-violence centres corresponding to six different
organizational models."
16;imf task force final report on special purpose entities spes compilation issues and implementation in luxembourg;"The final report of the IMF Task Force on Special Purpose Entities (SPEs)
provides a comprehensive definition, which refers to both Business Statistics
(“no or little employment”) and Balance of Payments (“transactions with nonresidents”) concepts. Yet it also takes into account criteria related to the
competitiveness of the jurisdictions hosting SPEs: The SPEs are institutional
units established for specific purposes including for instance to “grant their
owners access to capital markets or sophisticated financial services”. How to
identify institutions based on such non-standard criteria? The IMF report
fortunately also includes a typology, which is an excellent starting point to go
through the various Luxembourg SPEs business models. Luxembourg SPEs are
mostly Captive Financial Institutions. The most commonly observed pattern is
that Multinational Enterprises (MNEs) do not establish a single but instead a
network of interrelated resident entities, characterized by complex ownership
chains, to channel funds through Luxembourg. Some of these entities issue
debt securities on behalf of the group, and most only have loans and equity
(vis-à-vis affiliates of the group) on both sides of the balance sheet. As a
consequence of this “channeling” function, the contribution of each MNE and
therefore to SPEs in general, to Luxembourg’s net international investment
position (i.i.p.), should theoretically be rather small";"The final report of the IMF Task Force on Special Purpose Entities (SPEs)
provides a comprehensive definition, which refers to both Business Statistics
(“no or little employment”) and Balance of Payments (“transactions with nonresidents”) concepts. Yet it also takes into account criteria related to the
competitiveness of the jurisdictions hosting SPEs: The SPEs are institutional
units established for specific purposes including for instance to “grant their
owners access to capital markets or sophisticated financial services”. How to
identify institutions based on such non-standard criteria? The IMF report
fortunately also includes a typology, which is an excellent starting point to go
through the various Luxembourg SPEs business models. Luxembourg SPEs are
mostly Captive Financial Institutions. The most commonly observed pattern is
that Multinational Enterprises (MNEs) do not establish a single but instead a
network of interrelated resident entities, characterized by complex ownership
chains, to channel funds through Luxembourg. Some of these entities issue
debt securities on behalf of the group, and most only have loans and equity
(vis-à-vis affiliates of the group) on both sides of the balance sheet. As a
consequence of this “channeling” function, the contribution of each MNE and
therefore to SPEs in general, to Luxembourg’s net international investment
position (i.i.p.), should theoretically be rather small"
17;improvements on a parallel distributed algorithm for bootstrapping;"Bootstrapping is a statistical technique that is very expensive from a
computational point of view. For this reason, parallel versions have been
developed, typically implemented on multicore architectures. However this
approach can be limited by the amount of cores and the bottleneck produced
by the simultaneous access to the memory. We present a comparison between
parallel implementations in shared memory, private memory and one based
on the use of massive parallel computing by means of the use of Graphics
Processing Unit (GPU).";"Bootstrapping is a statistical technique that is very expensive from a
computational point of view. For this reason, parallel versions have been
developed, typically implemented on multicore architectures. However this
approach can be limited by the amount of cores and the bottleneck produced
by the simultaneous access to the memory. We present a comparison between
parallel implementations in shared memory, private memory and one based
on the use of massive parallel computing by means of the use of Graphics
Processing Unit (GPU)."
18;inclusive growth does economic growth benefit all;"Government policy is very much driven by economic growth. Almost
unconditionally, hardly giving any consideration to which population groups
capture the gains from the additional income generated, growth of GDP is
considered as the primary policy target. However, especially in developed
economies, trends in recent decades, possibly reinforced by globalisation and
digitalisation, have shown declining shares of compensation of employees,
increasing inequalities in income and wealth, and median incomes hardly
improving. Not only the resulting political tensions, but also the growing focus
on trying to capture (material) well-being, have led to an increased policy
attention for arriving at inclusive growth, i.e. economic growth that benefits
the whole population and not only a happy few.
As a consequence of the above, user demands for data which link
distributional information to macro¬economic statistics has increased
tremendously. A problem in this respect is that data on the micro-level which
describe income, consumption and wealth at the level of households and
individuals, show, sometime quite significant, inconsistencies with data for
similar indicators at the macro-level as can be derived from the system of
national accounts. This hampers policy analysis and related advice.
This paper describes the work that has been done in the context of the OECDEurostat Expert Group on Disparities within National Accounts (EG DNA). The
main objective of this group is to arrive at a consistent set of data on the
distribution of income, consumption, saving and wealth, by bridging the gaps
between the micro- and the macro-data. An additional objective is to develop
methodologies for estimating more recent distributional information by
combining more recent macro-data with the less timely micro-data. The paper
will focus on the methodologies applied, the initial results, and the main
problems encountered.";"Government policy is very much driven by economic growth. Almost
unconditionally, hardly giving any consideration to which population groups
capture the gains from the additional income generated, growth of GDP is
considered as the primary policy target. However, especially in developed
economies, trends in recent decades, possibly reinforced by globalisation and
digitalisation, have shown declining shares of compensation of employees,
increasing inequalities in income and wealth, and median incomes hardly
improving. Not only the resulting political tensions, but also the growing focus
on trying to capture (material) well-being, have led to an increased policy
attention for arriving at inclusive growth, i.e. economic growth that benefits
the whole population and not only a happy few.
As a consequence of the above, user demands for data which link
distributional information to macro¬economic statistics has increased
tremendously. A problem in this respect is that data on the micro-level which
describe income, consumption and wealth at the level of households and
individuals, show, sometime quite significant, inconsistencies with data for
similar indicators at the macro-level as can be derived from the system of
national accounts. This hampers policy analysis and related advice.
This paper describes the work that has been done in the context of the OECDEurostat Expert Group on Disparities within National Accounts (EG DNA). The
main objective of this group is to arrive at a consistent set of data on the
distribution of income, consumption, saving and wealth, by bridging the gaps
between the micro- and the macro-data. An additional objective is to develop
methodologies for estimating more recent distributional information by
combining more recent macro-data with the less timely micro-data. The paper
will focus on the methodologies applied, the initial results, and the main
problems encountered."
19;income consumption and wealth data integration a household perspective;"Disparities in income, consumption and wealth (ICW) are increasingly
analysed, not only by the research community and international organisations
but also by the public. The joint distribution of income, consumption and
wealth data provides links between the three economic dimensions. These
data help to describe more thoroughly material well-being and households'
economic vulnerability. Income and consumption aggregates drawn from
national accounts (macro-level data) describe the situation of households as
an institutional unit in the macroeconomic context. Income distribution (from
the European Union Statistics on Income and Living Conditions, EU-SILC) and
consumption data (from the Household Budget Survey), on the other hand,
are based on micro-level data and used to measure inequalities in the context
of social policies. Eurostat has been working on the two work streams of the
ICW project: The joint distribution of ICW (based on household surveys) and
micro (survey statistics) –macro (national account) data links for households'
ICW. Differing concepts and data collection practices mean that the analysis
of these different sources do not necessarily lead to the same conclusions as
regards people’s prosperity. The work has been done in close cooperation with
Organisation for Economic Co-operation and Development and European
Central Bank. The paper describes the methods and results of the ICW project. The random
hot-deck method was used for the statistical matching of ICW data from the
surveys. By comparing micro- and macro-level statistics on households, we
can understand their complementarities and differences and build robust links
between the data sources.";"Disparities in income, consumption and wealth (ICW) are increasingly
analysed, not only by the research community and international organisations
but also by the public. The joint distribution of income, consumption and
wealth data provides links between the three economic dimensions. These
data help to describe more thoroughly material well-being and households'
economic vulnerability. Income and consumption aggregates drawn from
national accounts (macro-level data) describe the situation of households as
an institutional unit in the macroeconomic context. Income distribution (from
the European Union Statistics on Income and Living Conditions, EU-SILC) and
consumption data (from the Household Budget Survey), on the other hand,
are based on micro-level data and used to measure inequalities in the context
of social policies. Eurostat has been working on the two work streams of the
ICW project: The joint distribution of ICW (based on household surveys) and
micro (survey statistics) –macro (national account) data links for households'
ICW. Differing concepts and data collection practices mean that the analysis
of these different sources do not necessarily lead to the same conclusions as
regards people’s prosperity. The work has been done in close cooperation with
Organisation for Economic Co-operation and Development and European
Central Bank. The paper describes the methods and results of the ICW project. The random
hot-deck method was used for the statistical matching of ICW data from the
surveys. By comparing micro- and macro-level statistics on households, we
can understand their complementarities and differences and build robust links
between the data sources."
20;inexda the granular data network;"The financial crisis of 2007-08 has highlighted the need for using granular data
on financial institutions and markets to detect risks and imbalances in the
financial sector. Data producers such as central banks and national statistical
institutes are witnessing a growing need to improve granular-data access and
sharing. When making granular data available, data producers face significant
legal and technical challenges related to, among others, safeguarding
statistical confidentiality. This paper introduces the INEXDA international
network, which provides a platform for data producers to exchange practical
experiences on the accessibility of granular data, metadata as well as
techniques for statistical analysis and data protection.The financial crisis of 
2007-08 has highlighted the need for using granular data
on financial institutions and markets to detect risks and imbalances in the
financial sector. Data producers such as central banks and national statistical
institutes are witnessing a growing need to improve granular-data access and
sharing. When making granular data available, data producers face significant
legal and technical challenges related to, among others, safeguarding
statistical confidentiality. This paper introduces the INEXDA international
network, which provides a platform for data producers to exchange practical
experiences on the accessibility of granular data, metadata as well as
techniques for statistical analysis and data protection.";"The financial crisis of 2007-08 has highlighted the need for using granular data
on financial institutions and markets to detect risks and imbalances in the
financial sector. Data producers such as central banks and national statistical
institutes are witnessing a growing need to improve granular-data access and
sharing. When making granular data available, data producers face significant
legal and technical challenges related to, among others, safeguarding
statistical confidentiality. This paper introduces the INEXDA international
network, which provides a platform for data producers to exchange practical
experiences on the accessibility of granular data, metadata as well as
techniques for statistical analysis and data protection.The financial crisis of 
2007-08 has highlighted the need for using granular data
on financial institutions and markets to detect risks and imbalances in the
financial sector. Data producers such as central banks and national statistical
institutes are witnessing a growing need to improve granular-data access and
sharing. When making granular data available, data producers face significant
legal and technical challenges related to, among others, safeguarding
statistical confidentiality. This paper introduces the INEXDA international
network, which provides a platform for data producers to exchange practical
experiences on the accessibility of granular data, metadata as well as
techniques for statistical analysis and data protection."
21;irish special purpose entitites spes concepts and challenges of the implementation of the results of the imf task force;"Globalisation has led to a rapid increase in the importance of multinational
enterprises to national economies, whose activities and corporate structures
often span many countries with varied degrees of complexity. The role of
Special Purpose Entities (SPEs) has also seen a rapid increase, as multinationals
attempt to manage their access to capital markets, financial risks, and
regulatory or tax burdens. As a member of the IMF Task Force on Special
Purpose Entities, ONS has been utilising available data sources and the Task
Force’s definition of SPEs to develop a decision tree for identifying resident
SPEs in the UK’s FDI statistics. This paper summarises ONS’s analysis of
resident SPEs and outlines some of the compilation challenges faced when
producing these estimates.";"Globalisation has led to a rapid increase in the importance of multinational
enterprises to national economies, whose activities and corporate structures
often span many countries with varied degrees of complexity. The role of
Special Purpose Entities (SPEs) has also seen a rapid increase, as multinationals
attempt to manage their access to capital markets, financial risks, and
regulatory or tax burdens. As a member of the IMF Task Force on Special
Purpose Entities, ONS has been utilising available data sources and the Task
Force’s definition of SPEs to develop a decision tree for identifying resident
SPEs in the UK’s FDI statistics. This paper summarises ONS’s analysis of
resident SPEs and outlines some of the compilation challenges faced when
producing these estimates."
22;islp challenges alternative truths;"We live in a world awash with data. We are confronted with an uncontrollable
flood of information daily – whether we want it or not. This stream of
information contains a mix of statistical information, fake news and so-called
'alternative facts'. It has long been asserted that statistics mislead people -
immortalized by Benjamin Disraeli's famous quip ""lies, damn lies and
statistics"". But is it as simple as that? Perhaps some fault lies with our inability
to interpret and use statistical information correctly? In the era of data deluge,
how can we assist governments, citizens and businesses to filter the wheat
from the growing volumes of chaff and use robust statistical information to
support sound decision making? The International Statistical Literacy Project
(ISLP) advocates for and promotes the correct use of statistics. The ability to
critically analyze and evaluate statistical information is an essential civic skill.
In today's data driven world, the ability to separate and discern reliable
information from the unreliable is not optional but necessary. Equally
important is the ability to compile and disseminate correct information
properly. In the context of this new information age, this paper outlines the
important contribution made by the ISLP in promoting statistical literacy all
around the world and, particularly, supporting teachers to help educate young
students - our future citizens and decision makers.";"We live in a world awash with data. We are confronted with an uncontrollable
flood of information daily – whether we want it or not. This stream of
information contains a mix of statistical information, fake news and so-called
'alternative facts'. It has long been asserted that statistics mislead people -
immortalized by Benjamin Disraeli's famous quip ""lies, damn lies and
statistics"". But is it as simple as that? Perhaps some fault lies with our inability
to interpret and use statistical information correctly? In the era of data deluge,
how can we assist governments, citizens and businesses to filter the wheat
from the growing volumes of chaff and use robust statistical information to
support sound decision making? The International Statistical Literacy Project
(ISLP) advocates for and promotes the correct use of statistics. The ability to
critically analyze and evaluate statistical information is an essential civic skill.
In today's data driven world, the ability to separate and discern reliable
information from the unreliable is not optional but necessary. Equally
important is the ability to compile and disseminate correct information
properly. In the context of this new information age, this paper outlines the
important contribution made by the ISLP in promoting statistical literacy all
around the world and, particularly, supporting teachers to help educate young
students - our future citizens and decision makers."
23;linked administrative sources for the new zealand census and population statistics;"Statistics NZ is beginning to see the benefits of a programme of research into
greater use of administrative data for the population census and the wider
population statistics system. The research effort has been driven by a need to
modernise and reduce costs of the current full-enumeration census model,
and the opportunities afforded by a rich and growing set of integrated
administrative data. Development of new statistical models is integral to
maximising the use of administrative sources. Included in this data mix are
travel journey data for almost all border crossings – a rare advantage afforded
by being an island country. A new measure of external migration has been
developed based on actual time spent in NZ, rather than the previous
approach that used intentions stated on arrival and departure cards. While NZ
does not have an administrative population register, or any mandatory
requirement to register an address with authorities, we have developed a
statistical admin resident population based on a ‘signs of life’ approach. This
work has proved to be a significant advantage given an unanticipated level of
non-response in the most recent full enumeration census in 2018.";"Statistics NZ is beginning to see the benefits of a programme of research into
greater use of administrative data for the population census and the wider
population statistics system. The research effort has been driven by a need to
modernise and reduce costs of the current full-enumeration census model,
and the opportunities afforded by a rich and growing set of integrated
administrative data. Development of new statistical models is integral to
maximising the use of administrative sources. Included in this data mix are
travel journey data for almost all border crossings – a rare advantage afforded
by being an island country. A new measure of external migration has been
developed based on actual time spent in NZ, rather than the previous
approach that used intentions stated on arrival and departure cards. While NZ
does not have an administrative population register, or any mandatory
requirement to register an address with authorities, we have developed a
statistical admin resident population based on a ‘signs of life’ approach. This
work has proved to be a significant advantage given an unanticipated level of
non-response in the most recent full enumeration census in 2018."
24;measurement of wealth inequality with distributional financial accounts indicators;"In view of the potential role that distributional data can play in explaining
macroeconomic developments, the European System of Central Banks’
Statistics Committee established an Expert Group on Linking Macro and Micro
Data for the Household Sector (EG-LMM) in December 2015. The aim of this
group is to understand, quantify and explain the main differences between the
Household Finance and Consumption Survey (HFCS) and the Financial
Accounts (FA). The systematic comparison of the two sources distinguishes
between two main explanatory factors: generic differences, which potentially
affect all or various components of wealth, and detailed instrument-specific
differences in definitions and data collection. Ultimately, the EG-LMM aims to
develop Distributional Financial Accounts (DFA) indicators.
The EG-LMM reported its provisional results in the first half of 2019 and this
paper summarises the outcome. As a first step, this paper briefly describes the
most important conceptual differences between micro and macro data on
household wealth. Compared to pure survey data, DFA indicators provide
information on household wealth that is coherent with macro aggregates.
Inequality indicators between these two sources may differ, since the coverage
of survey data is different for various kinds of assets and across various
household groups. The aim of the group was to improve the comparability
and DFA indicators also in long run. Therefore, it has provided number of
issues, which need to be further worked in the medium-term. In the last part
of the paper, these improvements are discussed.";"In view of the potential role that distributional data can play in explaining
macroeconomic developments, the European System of Central Banks’
Statistics Committee established an Expert Group on Linking Macro and Micro
Data for the Household Sector (EG-LMM) in December 2015. The aim of this
group is to understand, quantify and explain the main differences between the
Household Finance and Consumption Survey (HFCS) and the Financial
Accounts (FA). The systematic comparison of the two sources distinguishes
between two main explanatory factors: generic differences, which potentially
affect all or various components of wealth, and detailed instrument-specific
differences in definitions and data collection. Ultimately, the EG-LMM aims to
develop Distributional Financial Accounts (DFA) indicators.
The EG-LMM reported its provisional results in the first half of 2019 and this
paper summarises the outcome. As a first step, this paper briefly describes the
most important conceptual differences between micro and macro data on
household wealth. Compared to pure survey data, DFA indicators provide
information on household wealth that is coherent with macro aggregates.
Inequality indicators between these two sources may differ, since the coverage
of survey data is different for various kinds of assets and across various
household groups. The aim of the group was to improve the comparability
and DFA indicators also in long run. Therefore, it has provided number of
issues, which need to be further worked in the medium-term. In the last part
of the paper, these improvements are discussed."
25;moving towards a register based census in spain;"Spain plans to carry out its first register-based census in the next 2021 round,
becoming one of the biggest countries in the world using this approach. Since
1996, when the Population Register was created, census methodologies have
evolved enormously and Spain has vastly increased the use of administrative
registers in official statistics. In the last 2011 census, it was too soon to
completely rely on administrative data, so a combined census was performed.
Now, in 2018, 22 years after the creation of this register, INE faces this
challenge with confidence. The availability of a variety of administrative
registers and the fact that INE has access guaranteed by law to them, endorses
this step forward. There are still some difficulties to overcome and a great
effort is being made today, collecting any suitable administrative source,
processing and integrating data, developing new IT tools, and of course,
evaluating the quality of the whole statistical product. A complete population
census test referenced to 2016 proved very satisfactory so we believe in the
success of the 2021 census.";"Spain plans to carry out its first register-based census in the next 2021 round,
becoming one of the biggest countries in the world using this approach. Since
1996, when the Population Register was created, census methodologies have
evolved enormously and Spain has vastly increased the use of administrative
registers in official statistics. In the last 2011 census, it was too soon to
completely rely on administrative data, so a combined census was performed.
Now, in 2018, 22 years after the creation of this register, INE faces this
challenge with confidence. The availability of a variety of administrative
registers and the fact that INE has access guaranteed by law to them, endorses
this step forward. There are still some difficulties to overcome and a great
effort is being made today, collecting any suitable administrative source,
processing and integrating data, developing new IT tools, and of course,
evaluating the quality of the whole statistical product. A complete population
census test referenced to 2016 proved very satisfactory so we believe in the
success of the 2021 census."
26;parliament and official statistics in a multinational context an eu perspective;"The European Parliament is a key player in the democratic process. The paper
describes the multiple roles of the European Parliament in EU official statistics:
providing a forum for political debate and decision-making; acting as a colegislator adopting and amending legislative proposals; deciding on the EU
budget together with the Council; supervising the work of the European
Commission and other EU bodies; and cooperating with national parliaments
of EU countries";"The European Parliament is a key player in the democratic process. The paper
describes the multiple roles of the European Parliament in EU official statistics:
providing a forum for political debate and decision-making; acting as a colegislator adopting and amending legislative proposals; deciding on the EU
budget together with the Council; supervising the work of the European
Commission and other EU bodies; and cooperating with national parliaments
of EU countries"
27;predictive analytics of big neuroscience data;"This work present some of the Big neuroscience data research and education
challenges and opportunities. Specifically, I identify the core characteristics of
complex neuroscience data, discuss strategies for data harmonization and
aggregation, and show case-studies using large data of normal and
pathological cohorts. Examples of the demonstrated techniques include
DataSifter, which enables secure sharing of sensitive data, compressive big
data analytics, which facilitates inference on multi-source heterogeneous
datasets, and model-free prediction providing forecasting of clinical features
or derived computed phenotypes. Simulated data as well as clinical data (e.g.,
UK Biobank (UKBB), Alzheimer’s Disease Neuroimaging Initiative (ADNI), and
amyotrophic lateral sclerosis (ALS) case-studies) are used for testing and
validation of the techniques. In support of open-science, result reproducibility,
and methodological improvements, all datasets, statistical methods,
computational algorithms, and software tools are freely available online.";"This work present some of the Big neuroscience data research and education
challenges and opportunities. Specifically, I identify the core characteristics of
complex neuroscience data, discuss strategies for data harmonization and
aggregation, and show case-studies using large data of normal and
pathological cohorts. Examples of the demonstrated techniques include
DataSifter, which enables secure sharing of sensitive data, compressive big
data analytics, which facilitates inference on multi-source heterogeneous
datasets, and model-free prediction providing forecasting of clinical features
or derived computed phenotypes. Simulated data as well as clinical data (e.g.,
UK Biobank (UKBB), Alzheimer’s Disease Neuroimaging Initiative (ADNI), and
amyotrophic lateral sclerosis (ALS) case-studies) are used for testing and
validation of the techniques. In support of open-science, result reproducibility,
and methodological improvements, all datasets, statistical methods,
computational algorithms, and software tools are freely available online."
